dl_los,dl_del_ms,ul_rat_kb,ul_jit_ms,ul_del_ms,dl_rat_kb,dl_jit_ms,ul_los,QoE,availableQualityLevels,bufferSizeWhenStart,clen_audio,clen_video,dur,getVideoLoadedFraction,httpInfo,join_time,player_load_time,resolution,stallingNumber,timeout,totalStallDuration,ts_firstBuffering,ts_onPlayerReadyEvent,ts_onYTIframeAPIReady,ts_startPlaying,ts_start_js,bitrate_switches
12.0,1.0,4000.0,30.0,371.0,5600.0,,24.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,21868.0,hd1080,0.0,no,0.0,1518187611609.0,1518187611483.0,1518187609680.0,0.0,1518187589615.0,2.0
,3491.0,,90.0,667.0,4000.0,120.0,,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,8902.0,hd1080,0.0,no,0.0,1518187635658.0,1518187635590.0,1518187630809.0,0.0,1518187626688.0,1.0
18.0,2095.0,800.0,240.0,1.0,4000.0,180.0,12.0,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,26926.0,hd1080,0.0,no,0.0,1518187677815.0,1518187677774.0,1518187656234.0,0.0,1518187650848.0,1.0
3.0,350.0,5600.0,210.0,223.0,6400.0,180.0,,0.0,,0.06153871734756655,944165.0,839533.0,60.101,null,,12110.0,3882.0,tiny,2.0,no,2014.0,1518187696943.0,1518187696870.0,1518187694726.0,1518187709053.0,1518187692988.0,2.0
27.0,699.0,4000.0,240.0,445.0,4000.0,150.0,3.0,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,8879.0,hd1080,0.0,no,0.0,1518187731059.0,1518187731012.0,1518187722995.0,0.0,1518187722133.0,1.0
21.0,1.0,1600.0,90.0,1.0,3200.0,90.0,12.0,1.0,,0.06153871734756655,944165.0,1750497.0,60.101,1.0,,4101.0,742.0,small,0.0,no,0.0,1518187754109.0,1518187754010.0,1518187753446.0,1518187758210.0,1518187753268.0,1.0
24.0,2444.0,4000.0,30.0,445.0,4000.0,30.0,3.0,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,19889.0,hd1080,0.0,no,0.0,1518187815553.0,1518187815438.0,1518187798542.0,0.0,1518187795549.0,1.0
3.0,2793.0,,30.0,519.0,1600.0,210.0,21.0,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,23144.0,hd1080,0.0,no,0.0,1518187853901.0,1518187853828.0,1518187843299.0,0.0,1518187830684.0,1.0
6.0,3491.0,7200.0,270.0,741.0,4800.0,,27.0,0.0,,0.0,0.0,0.0,0.0,0.0,,310000.0,25081.0,hd1080,0.0,no,0.0,1518187894952.0,1518187894895.0,1518187878423.0,0.0,1518187869814.0,0.0
18.0,350.0,4000.0,60.0,667.0,6400.0,210.0,21.0,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,21225.0,hd1080,0.0,no,0.0,1518187932205.0,1518187932189.0,1518187922127.0,0.0,1518187910964.0,1.0
6.0,2793.0,7200.0,240.0,593.0,1600.0,240.0,3.0,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,16087.0,hd1080,0.0,no,0.0,1518187964264.0,1518187964230.0,1518187951952.0,0.0,1518187948143.0,1.0
18.0,3142.0,800.0,180.0,297.0,800.0,120.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0,,310000.0,25878.0,hd1080,0.0,no,0.0,1518188006225.0,1518188006175.0,1518187995891.0,0.0,1518187980297.0,0.0
6.0,2793.0,5600.0,,75.0,6400.0,90.0,27.0,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,19928.0,hd1080,0.0,no,0.0,1518188041413.0,1518188041366.0,1518188027845.0,0.0,1518188021438.0,1.0
,699.0,,210.0,223.0,7200.0,150.0,18.0,0.0,,0.11373272808899088,476991.0,839533.0,60.101,0.44031525914101866,,10652.0,11866.0,tiny,2.0,no,5173.0,1518188068493.0,1518188068446.0,1518188064470.0,1518188079145.0,1518188056580.0,2.0
